Time
1,2,3,4,5
Accuracy,0.93,0.925,0.925,0.895
Balanced Accuracy,0.8490196078431372,0.8049019607843138,0.7774509803921569,0.8696078431372549
P-value,0.7770733395099092,0.30310292240053316,0.09388787289873332,0.15077320387561693

2,1,3,4,5
Accuracy,0.93,0.935,0.925,0.905
Balanced Accuracy,0.8696013289036545,0.8276578073089701,0.7769933554817275,0.8999169435215947
P-value,0.7770733395099092,0.4547801177568821,0.1630816861433446,0.0857558892876608

3,1,2,4,5
Accuracy,0.925,0.935,0.95,0.89
Balanced Accuracy,0.881970031933186,0.8876197494473103,0.8393515106853353,0.9000245639891918
P-value,0.30310292240053316,0.4547801177568821,0.5153394336810517,0.014027255193229959

4,1,2,3,5
Accuracy,0.925,0.925,0.95,0.88
Balanced Accuracy,0.9114568188426868,0.8879034603082291,0.9017156150043617,0.9101482989241059
P-value,0.09388787289873332,0.1630816861433446,0.5153394336810517,0.0020053942847624907

5,1,2,3,4
Accuracy,0.895,0.905,0.89,0.88
Balanced Accuracy,0.7891547783402362,0.7954440865163368,0.7498082527995091,0.7163675410339009
P-value,0.15077320387561693,0.0857558892876608,0.014027255193229959,0.0020053942847624907

