Values-and-Quantities
1,2,3,4,5
Accuracy,0.975,0.98,0.955,0.94
Balanced Accuracy,0.6948717948717948,0.7948717948717949,0.5871794871794872,0.676923076923077
P-value,0.7367829369865468,1.0,0.7605141976477146,0.12641742713824877

2,1,3,4,5
Accuracy,0.975,0.975,0.95,0.945
Balanced Accuracy,0.7423469387755102,0.7423469387755102,0.4846938775510204,0.7270408163265306
P-value,0.7367829369865468,0.7367829369865468,0.5230363484570659,0.06570750824213725

3,1,2,4,5
Accuracy,0.98,0.975,0.955,0.95
Balanced Accuracy,0.7948717948717949,0.6948717948717948,0.5871794871794872,0.7794871794871795
P-value,1.0,0.7367829369865468,0.7605141976477146,0.12641742713824877

4,1,2,3,5
Accuracy,0.955,0.95,0.955,0.925
Balanced Accuracy,0.5730240549828178,0.4896907216494845,0.5730240549828178,0.5575601374570447
P-value,0.7605141976477146,0.5230363484570659,0.7605141976477146,0.21623213593881194

5,1,2,3,4
Accuracy,0.94,0.945,0.95,0.925
Balanced Accuracy,0.5829725829725829,0.5856180856180856,0.6310726310726311,0.5322270322270322
P-value,0.12641742713824877,0.06570750824213725,0.12641742713824877,0.21623213593881194

