World-States
1,2,3,4,5
Accuracy,0.86,0.65,0.685,0.6
Balanced Accuracy,0.6414677276746242,0.73342175066313,0.7371794871794872,0.6392572944297081
P-value,0.34827004393548244,1.6454121689150799e-12,7.883773753774409e-10,3.737943090093719e-13

2,1,3,4,5
Accuracy,0.86,0.59,0.635,0.6
Balanced Accuracy,0.6777777777777778,0.6166666666666667,0.6416666666666666,0.6666666666666667
P-value,0.34827004393548244,2.0382097057187644e-15,2.1101204134564184e-12,3.888443285192709e-16

3,1,2,4,5
Accuracy,0.65,0.59,0.675,0.58
Balanced Accuracy,0.6071428571428572,0.5426136363636364,0.6647727272727273,0.5750811688311688
P-value,1.6454121689150799e-12,2.0382097057187644e-15,0.36275629743724136,0.8410141356827017

4,1,2,3,5
Accuracy,0.685,0.635,0.675,0.565
Balanced Accuracy,0.6122502353802699,0.5533528611779475,0.6698922481431112,0.5570143320431007
P-value,7.883773753774409e-10,2.1101204134564184e-12,0.36275629743724136,0.2666398710000938

5,1,2,3,4
Accuracy,0.6,0.6,0.58,0.565
Balanced Accuracy,0.5636363636363636,0.5606060606060607,0.5747474747474748,0.555050505050505
P-value,3.737943090093719e-13,3.888443285192709e-16,0.8410141356827017,0.2666398710000938

