Physical-Entities
1,2,3,4,5
Accuracy,0.47,0.58,0.56,0.55
Balanced Accuracy,0.49712643678160917,0.6149425287356323,0.5435139573070608,0.5710180623973727
P-value,3.650646857630088e-07,9.464942575226414e-09,0.5422844532133394,5.5410986025403525e-05

2,1,3,4,5
Accuracy,0.47,0.67,0.64,0.66
Balanced Accuracy,0.4968340117593849,0.6153324287652646,0.7005879692446857,0.6347806422433289
P-value,3.650646857630088e-07,0.5195880730452326,1.1462237869602554e-08,0.29725177483756055

3,1,2,4,5
Accuracy,0.58,0.67,0.59,0.75
Balanced Accuracy,0.6333333333333333,0.6214285714285714,0.6595238095238095,0.7404761904761905
P-value,9.464942575226414e-09,0.5195880730452326,1.958376543465332e-10,0.09169387494845821

4,1,2,3,5
Accuracy,0.56,0.64,0.59,0.59
Balanced Accuracy,0.544556536359815,0.6864228667507356,0.6408154686843212,0.6223203026481715
P-value,0.5422844532133394,1.1462237869602554e-08,1.958376543465332e-10,3.34676821825854e-06

5,1,2,3,4
Accuracy,0.55,0.66,0.75,0.59
Balanced Accuracy,0.5734295415959253,0.6264855687606112,0.7143463497453311,0.6235144312393888
P-value,5.5410986025403525e-05,0.29725177483756055,0.09169387494845821,3.34676821825854e-06

