1,2,3,4,5
Accuracy,0.815,0.88,0.825,0.765
Balanced Accuracy,0.768939393939394,0.7518939393939394,0.7386363636363636,0.7765151515151515
P-value,0.002548396550780468,0.5532005282676883,0.0211912595409355,4.935327001946269e-06

2,1,3,4,5
Accuracy,0.815,0.835,0.85,0.85
Balanced Accuracy,0.6579752468363232,0.7005284383256849,0.7692949520233625,0.8429981921846752
P-value,0.002548396550780468,0.014875778273431377,0.4701854874014706,0.11543262749364831

3,1,2,4,5
Accuracy,0.88,0.835,0.845,0.805
Balanced Accuracy,0.7209302325581395,0.7994186046511628,0.7753322259136213,0.8417774086378738
P-value,0.5532005282676883,0.014875778273431377,0.0857558892876608,6.485758670996443e-05

4,1,2,3,5
Accuracy,0.825,0.85,0.845,0.82
Balanced Accuracy,0.6546249424758399,0.7970547630004602,0.7034054302807179,0.8143887099248351
P-value,0.0211912595409355,0.4701854874014706,0.0857558892876608,0.02174984195982108

5,1,2,3,4
Accuracy,0.765,0.85,0.805,0.82
Balanced Accuracy,0.6377520934072414,0.7908951527302748,0.6941266658804104,0.7417148248614224
P-value,4.935327001946269e-06,0.11543262749364831,6.485758670996443e-05,0.02174984195982108

