1,2,3,4,5
Accuracy,0.48,0.45,0.74,0.585
Balanced Accuracy,0.5279402209226771,0.6101364522417154,0.5877192982456141,0.5222547108512021
P-value,2.348515790229709e-15,4.0900811891904584e-27,0.8013367530632223,1.3856547588450731e-05

2,1,3,4,5
Accuracy,0.48,0.65,0.56,0.615
Balanced Accuracy,0.5174512987012987,0.6290584415584416,0.5974025974025974,0.6306818181818181
P-value,2.348515790229709e-15,0.007165559072198899,1.7374552381499262e-14,0.0004288985724580997

3,1,2,4,5
Accuracy,0.45,0.65,0.49,0.625
Balanced Accuracy,0.5792426367461431,0.6486676016830295,0.6215521271622253,0.6971715755025714
P-value,4.0900811891904584e-27,0.007165559072198899,6.934102414788028e-26,4.145337006194602e-10

4,1,2,3,5
Accuracy,0.74,0.56,0.49,0.705
Balanced Accuracy,0.584375,0.65,0.6625,0.7124999999999999
P-value,0.8013367530632223,1.7374552381499262e-14,6.934102414788028e-26,4.187489689629387e-05

5,1,2,3,4
Accuracy,0.585,0.615,0.625,0.705
Balanced Accuracy,0.5144652095871608,0.6359940872135994,0.6781226903178122,0.6435962411572167
P-value,1.3856547588450731e-05,0.0004288985724580997,4.145337006194602e-10,4.187489689629387e-05

