1,2,3,4,5
Accuracy,0.855,0.935,0.88,0.82
Balanced Accuracy,0.8804713804713804,0.7515632515632515,0.8080808080808081,0.8191438191438192
P-value,3.335981717939222e-05,0.5366502124994761,0.0026328010704024245,2.207552633979405e-06

2,1,3,4,5
Accuracy,0.855,0.87,0.895,0.875
Balanced Accuracy,0.6284925276153346,0.6679662118258609,0.7841130604288499,0.8221247563352827
P-value,3.335981717939222e-05,0.00033598249671253284,0.2292111425422792,0.535056324502227

3,1,2,4,5
Accuracy,0.935,0.87,0.885,0.845
Balanced Accuracy,0.7008448540706606,0.8970814132104454,0.8060675883256528,0.8836405529953917
P-value,0.5366502124994761,0.00033598249671253284,0.015407173655489862,2.907293585874822e-05

4,1,2,3,5
Accuracy,0.88,0.895,0.885,0.89
Balanced Accuracy,0.6291591046581972,0.852692075015124,0.6607178866706997,0.8784029038112522
P-value,0.0026328010704024245,0.2292111425422792,0.015407173655489862,0.06874200507619782

5,1,2,3,4
Accuracy,0.82,0.875,0.845,0.89
Balanced Accuracy,0.5982817360391053,0.7937342615908755,0.6479780773218782,0.77795882091542
P-value,2.207552633979405e-06,0.535056324502227,2.907293585874822e-05,0.06874200507619782

