1,2,3,4,5
Accuracy,0.915,0.945,0.925,0.855
Balanced Accuracy,0.8552227342549923,0.8713517665130568,0.761520737327189,0.8559907834101382
P-value,0.06398222418884462,0.36477584598261026,0.5759248198202788,0.00020953554279224353

2,1,3,4,5
Accuracy,0.915,0.93,0.91,0.9
Balanced Accuracy,0.7114285714285714,0.7885714285714285,0.7257142857142858,0.8914285714285715
P-value,0.06398222418884462,0.3388936442735506,0.19287063856202966,0.056418266687523436

3,1,2,4,5
Accuracy,0.945,0.93,0.93,0.88
Balanced Accuracy,0.7811863913928467,0.867112532712998,0.7728990985751671,0.8865949403896481
P-value,0.36477584598261026,0.3388936442735506,0.7275688369740714,0.004432205397627344

4,1,2,3,5
Accuracy,0.925,0.91,0.93,0.88
Balanced Accuracy,0.718900675024108,0.8174220507875282,0.8016714882674381,0.9077467052394728
P-value,0.5759248198202788,0.19287063856202966,0.7275688369740714,0.0014709463638638907

5,1,2,3,4
Accuracy,0.855,0.9,0.88,0.88
Balanced Accuracy,0.6476349737219302,0.7727345118649467,0.7117375378244943,0.7020226150660933
P-value,0.00020953554279224353,0.056418266687523436,0.004432205397627344,0.0014709463638638907

