Events
1,2,3,4,5
Accuracy,0.735,0.74,0.775,0.725
Balanced Accuracy,0.7373237323732373,0.7406740674067407,0.7759275927592759,0.7264226422642264
P-value,1.056418162984076e-06,0.16155480486952625,0.05674420031883936,0.003352270334372313

2,1,3,4,5
Accuracy,0.735,0.785,0.76,0.84
Balanced Accuracy,0.8009893455098934,0.8235667174023338,0.7772704211060375,0.8495687468290207
P-value,1.056418162984076e-06,0.0005224263574840919,0.0030521829880701674,0.05286852150744935

3,1,2,4,5
Accuracy,0.74,0.785,0.785,0.825
Balanced Accuracy,0.7447868985861053,0.7594853015969891,0.7779981690570643,0.8120740514698404
P-value,0.16155480486952625,0.0005224263574840919,0.6138302465752126,0.1260161179124043

4,1,2,3,5
Accuracy,0.775,0.76,0.785,0.81
Balanced Accuracy,0.7851384869780901,0.7259198015708971,0.7824514262091773,0.7943365026870608
P-value,0.05674420031883936,0.0030521829880701674,0.6138302465752126,0.30535881143337695

5,1,2,3,4
Accuracy,0.725,0.84,0.825,0.81
Balanced Accuracy,0.7456597222222222,0.7990451388888888,0.8328993055555556,0.8090277777777778
P-value,0.003352270334372313,0.05286852150744935,0.1260161179124043,0.30535881143337695

