1,2,3,4,5
Accuracy,0.89,0.64,0.665,0.58
Balanced Accuracy,0.6722222222222223,0.7555555555555555,0.7250000000000001,0.6111111111111112
P-value,0.7338533943373,2.0382097057187644e-15,2.1101204134564184e-12,3.888443285192709e-16

2,1,3,4,5
Accuracy,0.89,0.59,0.635,0.59
Balanced Accuracy,0.6892551892551892,0.6245421245421245,0.6492673992673992,0.6495726495726495
P-value,0.7338533943373,1.6354755777101478e-16,2.2100365444802688e-13,2.936498216495782e-17

3,1,2,4,5
Accuracy,0.64,0.59,0.675,0.58
Balanced Accuracy,0.5933441558441558,0.5413961038961039,0.6647727272727273,0.5750811688311688
P-value,2.0382097057187644e-15,1.6354755777101478e-16,0.36275629743724136,0.8410141356827017

4,1,2,3,5
Accuracy,0.665,0.635,0.675,0.565
Balanced Accuracy,0.5847368971649755,0.5511559786588556,0.6698922481431112,0.5570143320431007
P-value,2.1101204134564184e-12,2.2100365444802688e-13,0.36275629743724136,0.2666398710000938

5,1,2,3,4
Accuracy,0.58,0.59,0.58,0.565
Balanced Accuracy,0.5404040404040404,0.5494949494949495,0.5747474747474748,0.555050505050505
P-value,3.888443285192709e-16,2.936498216495782e-17,0.8410141356827017,0.2666398710000938

