1,2,3,4,5
Accuracy,0.94,0.835,0.77,0.89
Balanced Accuracy,0.7743589743589743,0.6230769230769231,0.6871794871794872,0.6512820512820513
P-value,0.053855959691307444,2.4785425279646395e-06,1.712525905629072e-10,0.0011277703911666541

2,1,3,4,5
Accuracy,0.94,0.815,0.77,0.9
Balanced Accuracy,0.6100370218017277,0.5789798436857261,0.6622788975730152,0.7317976141505553
P-value,0.053855959691307444,0.0025761482445581267,1.468690488957221e-06,0.15224251862508953

3,1,2,4,5
Accuracy,0.835,0.815,0.725,0.795
Balanced Accuracy,0.5223214285714286,0.5357142857142857,0.5833333333333333,0.5491071428571428
P-value,2.4785425279646395e-06,0.0025761482445581267,0.05981164277139451,0.1052641770497678

4,1,2,3,5
Accuracy,0.77,0.77,0.725,0.74
Balanced Accuracy,0.525378945904603,0.5548602419691281,0.5623000973439021,0.5426227228480044
P-value,1.712525905629072e-10,1.468690488957221e-06,0.05981164277139451,0.0005084683901880011

5,1,2,3,4
Accuracy,0.89,0.9,0.795,0.74
Balanced Accuracy,0.5392391593508912,0.6499068901303539,0.5702314445331205,0.5815376429901569
P-value,0.0011277703911666541,0.15224251862508953,0.1052641770497678,0.0005084683901880011

