1,2,3,4,5
Accuracy,0.905,0.935,0.875,0.84
Balanced Accuracy,0.5694444444444444,0.675,0.6194444444444445,0.6222222222222222
P-value,0.0018869534293038857,0.009496370639409467,0.6057225261269319,0.34827004393548244

2,1,3,4,5
Accuracy,0.905,0.97,0.91,0.865
Balanced Accuracy,0.7564102564102564,0.7897435897435897,0.6615384615384616,0.6384615384615384
P-value,0.0018869534293038857,0.5588830040029868,0.008412782060385256,7.711083853454283e-05

3,1,2,4,5
Accuracy,0.935,0.97,0.93,0.885
Balanced Accuracy,0.966321243523316,0.7091043671354552,0.8260547742413027,0.8027387120651369
P-value,0.009496370639409467,0.5588830040029868,0.03532249393510697,0.0005238615618790761

4,1,2,3,5
Accuracy,0.875,0.91,0.93,0.855
Balanced Accuracy,0.6382192221150755,0.5506268081002893,0.6415943426550949,0.6539697846351655
P-value,0.6057225261269319,0.008412782060385256,0.03532249393510697,0.14701272807913046

5,1,2,3,4
Accuracy,0.84,0.865,0.885,0.855
Balanced Accuracy,0.5972590627763041,0.5298408488063661,0.5904067197170646,0.6058797524314765
P-value,0.34827004393548244,7.711083853454283e-05,0.0005238615618790761,0.14701272807913046

