Events
1,2,3,4,5
Accuracy,0.72,0.755,0.77,0.72
Balanced Accuracy,0.7295673076923077,0.7580128205128205,0.7740384615384616,0.7259615384615384
P-value,2.1663070452465037e-07,0.08922851612125023,0.027437462342275905,0.001219102256786942

2,1,3,4,5
Accuracy,0.72,0.785,0.76,0.84
Balanced Accuracy,0.7907153729071537,0.8235667174023338,0.7772704211060375,0.8495687468290207
P-value,2.1663070452465037e-07,0.0005224263574840919,0.0030521829880701674,0.05286852150744935

3,1,2,4,5
Accuracy,0.755,0.785,0.785,0.825
Balanced Accuracy,0.76202827789645,0.7594853015969891,0.7779981690570643,0.8120740514698404
P-value,0.08922851612125023,0.0005224263574840919,0.6138302465752126,0.1260161179124043

4,1,2,3,5
Accuracy,0.77,0.76,0.785,0.81
Balanced Accuracy,0.7827614716825134,0.7259198015708971,0.7824514262091773,0.7943365026870608
P-value,0.027437462342275905,0.0030521829880701674,0.6138302465752126,0.30535881143337695

5,1,2,3,4
Accuracy,0.72,0.84,0.825,0.81
Balanced Accuracy,0.7447916666666667,0.7990451388888888,0.8328993055555556,0.8090277777777778
P-value,0.001219102256786942,0.05286852150744935,0.1260161179124043,0.30535881143337695

