1,2,3,4,5
Accuracy,0.59,0.45,0.5,0.55
Balanced Accuracy,0.5823385958156848,0.5775895263765884,0.442690283660634,0.5551277114619433
P-value,0.0001545141681865164,2.2538588727352856e-23,0.0029457943828365275,4.427066138309684e-06

2,1,3,4,5
Accuracy,0.59,0.58,0.5,0.56
Balanced Accuracy,0.564935722239093,0.6071464723150116,0.4894220062759389,0.5590646826601883
P-value,0.0001545141681865164,1.8325724405318084e-09,0.4196935821761135,0.42383874882851713

3,1,2,4,5
Accuracy,0.45,0.58,0.43,0.59
Balanced Accuracy,0.5775895263765884,0.6358618919265819,0.4674624566807855,0.6245668078552176
P-value,2.2538588727352856e-23,1.8325724405318084e-09,7.84464191692751e-12,2.0299271870710438e-07

4,1,2,3,5
Accuracy,0.5,0.5,0.43,0.5
Balanced Accuracy,0.4536777674032576,0.48915862641352836,0.4737005913476502,0.49704326174914404
P-value,0.0029457943828365275,0.4196935821761135,7.84464191692751e-12,0.10797987232735315

5,1,2,3,4
Accuracy,0.55,0.56,0.59,0.5
Balanced Accuracy,0.5429886898208387,0.5584025623060754,0.5971374236813132,0.49714743268942047
P-value,4.427066138309684e-06,0.42383874882851713,2.0299271870710438e-07,0.10797987232735315

