Space
Accuracy,0.815,0.88,0.825,0.765
Balanced Accuracy,0.768939393939394,0.7518939393939394,0.7386363636363636,0.7765151515151515
P-value,0.002548396550780468,0.5532005282676883,0.0211912595409355,4.935327001946269e-06
Tau,0.41224151727639907,0.4718092267444075,0.3841829460031579,0.39033596288342515
1,2,3,4,5

Accuracy,0.815,0.835,0.85,0.85
Balanced Accuracy,0.6579752468363232,0.7005284383256849,0.7692949520233625,0.8429981921846752
P-value,0.002548396550780468,0.014875778273431377,0.4701854874014706,0.11543262749364831
Tau,0.4122415172763991,0.4900691591861432,0.565668977938583,0.6317484040399921
2,1,3,4,5

Accuracy,0.88,0.835,0.845,0.805
Balanced Accuracy,0.7209302325581395,0.7994186046511628,0.7753322259136213,0.8417774086378738
P-value,0.5532005282676883,0.014875778273431377,0.0857558892876608,6.485758670996443e-05
Tau,0.4718092267444075,0.49006915918614313,0.47330358072640005,0.5151625328461573
3,1,2,4,5

Accuracy,0.825,0.85,0.845,0.82
Balanced Accuracy,0.6546249424758399,0.7970547630004602,0.7034054302807179,0.8143887099248351
P-value,0.0211912595409355,0.4701854874014706,0.0857558892876608,0.02174984195982108
Tau,0.3841829460031579,0.565668977938583,0.47330358072640005,0.5513344246748612
4,1,2,3,5

Accuracy,0.765,0.85,0.805,0.82
Balanced Accuracy,0.6377520934072414,0.7908951527302748,0.6941266658804104,0.7417148248614224
P-value,4.935327001946269e-06,0.11543262749364831,6.485758670996443e-05,0.02174984195982108
Tau,0.39033596288342515,0.6317484040399921,0.5151625328461573,0.5513344246748612
5,1,2,3,4

