Events
Accuracy,0.835,0.725,0.765,0.825
Balanced Accuracy,0.6784195605953225,0.6823175053153792,0.6362508858965272,0.5905386250885897
P-value,0.4937510140671153,0.0006811123669770527,0.25481795225511533,0.010744200534608984
Tau,0.3806877565579638,0.2948636991475451,0.24916026203037153,0.24389752188828334
1,2,3,4,5

Accuracy,0.835,0.77,0.83,0.86
Balanced Accuracy,0.7030651340996168,0.7795926598104457,0.7574107683000605,0.6317806009276064
P-value,0.4937510140671153,4.721873040245534e-05,0.06874200507619782,0.06024063174448524
Tau,0.3806877565579638,0.4238598275801837,0.441234748109031,0.33275801725454424
2,1,3,4,5

Accuracy,0.725,0.77,0.75,0.71
Balanced Accuracy,0.6192214111922141,0.6606418723207045,0.667477696674777,0.5654037770826092
P-value,0.0006811123669770527,4.721873040245534e-05,0.02344703473131151,4.738744491677992e-09
Tau,0.2948636991475451,0.42385982758018376,0.3787332889885113,0.21787799901183538
3,1,2,4,5

Accuracy,0.765,0.83,0.75,0.78
Balanced Accuracy,0.6139090505110354,0.6890830988001777,0.714116427195971,0.5643608354317879
P-value,0.25481795225511533,0.06874200507619782,0.02344703473131151,0.00025225504289799234
Tau,0.24916026203037153,0.441234748109031,0.3787332889885113,0.18962068752315983
4,1,2,3,5

Accuracy,0.825,0.86,0.71,0.78
Balanced Accuracy,0.6642558662809386,0.7100610736097718,0.6814529090324655,0.6396657023465124
P-value,0.010744200534608984,0.06024063174448524,4.738744491677992e-09,0.00025225504289799234
Tau,0.24389752188828334,0.3327580172545442,0.21787799901183535,0.1896206875231598
5,1,2,3,4

