Events
Accuracy,0.71,0.74,0.76,0.715
Balanced Accuracy,0.6541666666666667,0.73125,0.7437499999999999,0.6895833333333333
P-value,3.270109862945979e-06,0.8390736512189342,0.5387228502427917,0.17845995062635317
Tau,0.38504083365025193,0.46068006956949326,0.49466263219604506,0.39355238196470316
1,2,3,4,5

Accuracy,0.71,0.72,0.77,0.805
Balanced Accuracy,0.7404158544509422,0.7667316439246263,0.8076673164392463,0.8292722547108512
P-value,3.270109862945979e-06,1.1920091833445725e-06,5.4041918859015046e-05,0.0009402109596270357
Tau,0.38504083365025193,0.4255062200881518,0.499987943799707,0.5473576811028009
2,1,3,4,5

Accuracy,0.74,0.72,0.76,0.835
Balanced Accuracy,0.7294336502687061,0.6696982224059529,0.7445225299710625,0.8155229433650268
P-value,0.8390736512189342,1.1920091833445725e-06,0.41343147126227753,0.12143868643854971
Tau,0.46068006956949326,0.42550622008815187,0.4981907661027926,0.6575755369877789
3,1,2,4,5

Accuracy,0.76,0.77,0.76,0.795
Balanced Accuracy,0.7509652509652509,0.7031317031317031,0.7537537537537538,0.7703775203775204
P-value,0.5387228502427917,5.4041918859015046e-05,0.41343147126227753,0.46505078585123005
Tau,0.49466263219604506,0.499987943799707,0.4981907661027926,0.5531443581006164
4,1,2,3,5

Accuracy,0.715,0.805,0.835,0.795
Balanced Accuracy,0.704241948153967,0.7274716642352148,0.8426102569857479,0.7829087644484345
P-value,0.17845995062635317,0.0009402109596270357,0.12143868643854971,0.46505078585123005
Tau,0.39355238196470316,0.5473576811028009,0.6575755369877789,0.5531443581006164
5,1,2,3,4

