Space
Accuracy,0.815,0.85,0.825,0.755
Balanced Accuracy,0.7679539295392954,0.7350948509485096,0.752371273712737,0.785569105691057
P-value,0.06936219042495916,0.7930374219462548,0.2639271379575519,2.8169098132788006e-05
Tau,0.4723730130650171,0.4808977939718689,0.4643773016918275,0.4557756310075743
1,2,3,4,5

Accuracy,0.815,0.835,0.86,0.82
Balanced Accuracy,0.7081852875378339,0.7280563232004211,0.796420581655481,0.8340571127779971
P-value,0.06936219042495916,0.03780426022270057,0.48364182026870595,0.01733994797011694
Tau,0.47237301306501706,0.5292450851011339,0.6187916819272452,0.6048750215805281
2,1,3,4,5

Accuracy,0.85,0.835,0.855,0.785
Balanced Accuracy,0.7459248759744862,0.8070517363571934,0.8074060949681077,0.8470942593905032
P-value,0.7930374219462548,0.03780426022270057,0.16794341850059433,8.741530803842842e-06
Tau,0.4808977939718689,0.5292450851011339,0.5530493245845843,0.5416361452063363
3,1,2,4,5

Accuracy,0.825,0.86,0.855,0.78
Balanced Accuracy,0.7136200716845877,0.8229390681003584,0.7487455197132616,0.7949820788530466
P-value,0.2639271379575519,0.48364182026870595,0.16794341850059433,0.0020801523604863257
Tau,0.4643773016918275,0.6187916819272451,0.5530493245845843,0.5117224176249058
4,1,2,3,5

Accuracy,0.755,0.82,0.785,0.78
Balanced Accuracy,0.6818574048107,0.7738108078955883,0.7113040664437493,0.7219285945421205
P-value,2.8169098132788006e-05,0.01733994797011694,8.741530803842842e-06,0.0020801523604863257
Tau,0.45577563100757423,0.6048750215805281,0.5416361452063363,0.5117224176249059
5,1,2,3,4

