Time
Accuracy,0.92,0.93,0.97,0.935
Balanced Accuracy,0.4623115577889447,0.46733668341708545,0.48743718592964824,0.46984924623115576
P-value,0.00033080370203041276,0.0010507829073163517,0.10037940137475504,0.0018657867166085016
Tau,-0.020185207913169852,-0.01869064697406825,-0.01135118386251103,-0.017909570058171568
1,2,3,4,5

Accuracy,0.92,0.94,0.93,0.925
Balanced Accuracy,0.4972972972972973,0.7531531531531532,0.5945945945945946,0.6837837837837838
P-value,0.00033080370203041276,0.6959880411997263,0.02175855891311849,0.5510793976297164
Tau,-0.020185207913169856,0.5409440535684419,0.3191725268112872,0.4076609670544931
2,1,3,4,5

Accuracy,0.93,0.94,0.93,0.945
Balanced Accuracy,0.49732620320855614,0.7889757301522007,0.5689016865487454,0.75586178527355
P-value,0.0010507829073163517,0.6959880411997263,0.05385595969130745,0.8368548267222057
Tau,-0.018690646974068255,0.5409440535684419,0.2175955551668476,0.531200350938459
3,1,2,4,5

Accuracy,0.97,0.93,0.93,0.945
Balanced Accuracy,0.49743589743589745,0.7692307692307692,0.6717948717948719,0.7769230769230769
P-value,0.10037940137475504,0.02175855891311849,0.05385595969130745,0.08312105563340319
Tau,-0.01135118386251103,0.31917252681128727,0.2175955551668476,0.3641010273282307
4,1,2,3,5

Accuracy,0.935,0.925,0.945,0.945
Balanced Accuracy,0.4973404255319149,0.726063829787234,0.7757092198581561,0.6196808510638299
P-value,0.0018657867166085016,0.5510793976297164,0.8368548267222057,0.08312105563340319
Tau,-0.017909570058171568,0.40766096705449306,0.531200350938459,0.3641010273282307
5,1,2,3,4

