World-States
Accuracy,0.915,0.635,0.665,0.595
Balanced Accuracy,0.718421052631579,0.6657894736842105,0.7289473684210527,0.644736842105263
P-value,0.16380527229757247,2.62478315860863e-17,7.490250636817333e-16,1.9939053096582102e-20
Tau,0.34139038576047875,0.14851346494721168,0.2072903866456678,0.12762257587800857
1,2,3,4,5

Accuracy,0.915,0.62,0.64,0.61
Balanced Accuracy,0.6333976213436194,0.5789135326261652,0.5898424943747991,0.6534876245580199
P-value,0.16380527229757247,3.0893220501158323e-13,5.797660966725752e-12,5.53064607866674e-16
Tau,0.3413903857604788,0.09045520625948583,0.10408748421232028,0.1731789024869365
2,1,3,4,5

Accuracy,0.635,0.62,0.66,0.57
Balanced Accuracy,0.5332594235033259,0.5259212332383064,0.6361524654207581,0.555696336184141
P-value,2.62478315860863e-17,3.0893220501158323e-13,0.6804352120698633,0.41642993116307647
Tau,0.14851346494721168,0.09045520625948582,0.2752264277307686,0.10964684968985303
3,1,2,4,5

Accuracy,0.665,0.64,0.66,0.57
Balanced Accuracy,0.5469205047999137,0.5301477726243123,0.6390896343436523,0.5536619566389818
P-value,7.490250636817333e-16,5.797660966725752e-12,0.6804352120698633,0.22069500607841483
Tau,0.2072903866456678,0.10408748421232028,0.2752264277307686,0.10452048280596583
4,1,2,3,5

Accuracy,0.595,0.61,0.57,0.57
Balanced Accuracy,0.5281329923273658,0.548849104859335,0.5539641943734015,0.5508951406649616
P-value,1.9939053096582102e-20,5.53064607866674e-16,0.41642993116307647,0.22069500607841483
Tau,0.12762257587800857,0.1731789024869365,0.10964684968985303,0.10452048280596582
5,1,2,3,4

