Physical-Entities
Accuracy,0.54,0.63,0.505,0.635
Balanced Accuracy,0.5059942124844977,0.5952873088052915,0.5209797436957421,0.5958040512608516
P-value,0.03729848382859138,0.011801661791584992,0.0004376678591965757,0.0021045234652401074
Tau,0.012748957443480782,0.2065640870493059,0.04188380477898514,0.21353309643330717
1,2,3,4,5

Accuracy,0.54,0.69,0.625,0.715
Balanced Accuracy,0.506778868630201,0.6287985039738195,0.6838475923328659,0.646914446002805
P-value,0.03729848382859138,0.6634740413706021,1.873562878164375e-08,0.3213124185177247
Tau,0.012748957443480782,0.26255363371611756,0.34513686765562535,0.30791672802567366
2,1,3,4,5

Accuracy,0.63,0.69,0.615,0.815
Balanced Accuracy,0.611947547353084,0.6338028169014085,0.6829771733851384,0.7626274890723652
P-value,0.011801661791584992,0.6634740413706021,1.3133665141251058e-09,0.5777396259359295
Tau,0.2065640870493059,0.26255363371611756,0.3370180038449326,0.5400472313821164
3,1,2,4,5

Accuracy,0.505,0.625,0.615,0.62
Balanced Accuracy,0.5209041293378642,0.6619812583668006,0.6551848419318299,0.6647101225414478
P-value,0.0004376678591965757,1.873562878164375e-08,1.3133665141251058e-09,3.304045049498142e-11
Tau,0.04188380477898513,0.34513686765562535,0.3370180038449325,0.36777792725526026
4,1,2,3,5

Accuracy,0.635,0.715,0.815,0.62
Balanced Accuracy,0.6189834424335772,0.6613400077011937,0.7776280323450134,0.7053009883198562
P-value,0.0021045234652401074,0.3213124185177247,0.5777396259359295,3.304045049498142e-11
Tau,0.2135330964333072,0.30791672802567366,0.5400472313821164,0.3677779272552603
5,1,2,3,4

