Space
Accuracy,0.875,0.945,0.93,0.87
Balanced Accuracy,0.6893939393939394,0.7247474747474747,0.7171717171717171,0.9343434343434344
P-value,3.63553918379788e-06,0.011083275070035583,0.0021377295112854993,5.802415005052056e-07
Tau,0.11396057645963793,0.1961756791010437,0.16937931181226482,0.24909649144269785
1,2,3,4,5

Accuracy,0.875,0.91,0.915,0.895
Balanced Accuracy,0.5171428571428571,0.6742857142857143,0.7114285714285714,0.7857142857142857
P-value,3.63553918379788e-06,0.014383616268411541,0.06398222418884462,0.6591380906252386
Tau,0.11396057645963793,0.5056541434903603,0.5481030386432247,0.5446377511878738
2,1,3,4,5

Accuracy,0.945,0.91,0.945,0.915
Balanced Accuracy,0.5428090428090427,0.8667628667628668,0.7996632996632996,0.955026455026455
P-value,0.011083275070035583,0.014383616268411541,0.5366502124994761,0.004087732604484594
Tau,0.19617567910104367,0.5056541434903604,0.5355133570619504,0.5979304191059481
3,1,2,4,5

Accuracy,0.93,0.915,0.945,0.9
Balanced Accuracy,0.533026113671275,0.8552227342549923,0.739247311827957,0.84715821812596
P-value,0.0021377295112854993,0.06398222418884462,0.5366502124994761,0.02238455793129568
Tau,0.16937931181226484,0.5481030386432247,0.5355133570619504,0.5105457873540239
4,1,2,3,5

Accuracy,0.87,0.895,0.915,0.9
Balanced Accuracy,0.5357142857142857,0.7595514950166113,0.6964285714285714,0.6877076411960132
P-value,5.802415005052056e-07,0.6591380906252386,0.004087732604484594,0.02238455793129568
Tau,0.24909649144269788,0.5446377511878738,0.597930419105948,0.5105457873540239
5,1,2,3,4

