Time
Accuracy,0.92,0.945,0.935,0.875
Balanced Accuracy,0.855464759959142,0.849591419816139,0.8041368743615935,0.8700204290091931
P-value,0.3656023027806977,0.8721571531955863,0.6219561647887607,0.009029381033136575
Tau,0.6410688138872525,0.7136346674996967,0.649089117161604,0.5735701599760786
1,2,3,4,5

Accuracy,0.92,0.935,0.925,0.905
Balanced Accuracy,0.7890365448504983,0.8127076411960132,0.7769933554817275,0.8999169435215947
P-value,0.3656023027806977,0.2869033047612262,0.1630816861433446,0.0857558892876608
Tau,0.6410688138872525,0.7079059547703759,0.6555812110600776,0.6874680968921919
2,1,3,4,5

Accuracy,0.945,0.935,0.95,0.88
Balanced Accuracy,0.8641926044160682,0.9006384676775738,0.8459696727853152,0.890928438414472
P-value,0.8721571531955863,0.2869033047612262,0.7396527362685612,0.005643678629707961
Tau,0.7136346674996967,0.7079059547703758,0.723415985808025,0.5937080434308809
3,1,2,4,5

Accuracy,0.935,0.925,0.95,0.88
Balanced Accuracy,0.8463216051177668,0.8879034603082291,0.8781622564699041,0.9101482989241059
P-value,0.6219561647887607,0.1630816861433446,0.7396527362685612,0.0020053942847624907
Tau,0.649089117161604,0.6555812110600777,0.723415985808025,0.595794524638977
4,1,2,3,5

Accuracy,0.875,0.905,0.88,0.88
Balanced Accuracy,0.7222733548090198,0.7954440865163368,0.7254180088970701,0.7163675410339009
P-value,0.009029381033136575,0.0857558892876608,0.005643678629707961,0.0020053942847624907
Tau,0.5735701599760786,0.6874680968921919,0.5937080434308808,0.595794524638977
5,1,2,3,4

